datetime,open,close,high,low,volume,money
2015-04-29,4520.46,4774.33,4839.08,4504.56,350088474600.0,5156757793634.0
2015-05-11,4788.41,4690.53,4818.73,4445.59,258807021500.0,3886560051448.0
2015-05-20,4692.12,4754.92,4843.1,4565.06,236108782200.0,3765789375985.0
2015-05-29,4768.69,4840.83,5226.84,4665.52,318509384000.0,5070899553607.0
2015-06-09,4862.76,5317.46,5380.43,4835.77,348120417100.0,5379677979246.0
2015-06-18,5254.3,4930.55,5374.83,4926.43,291357715900.0,4629582682701.0
2015-06-30,4847.06,4473.0,4919.26,4000.93,310331494500.0,4345234027590.0
2015-07-09,4408.98,3897.63,4526.13,3537.83,373090169900.0,4535441283149.0
2015-07-20,3916.27,4160.61,4278.16,3856.32,289348431200.0,3729058924921.0
2015-07-29,4109.76,3930.38,4299.65,3627.42,240939264600.0,3226296638419.0
2015-08-07,3915.78,3906.95,3968.53,3742.58,149107913400.0,1988823512085.0
2015-08-18,3947.47,3825.41,4113.16,3816.55,195701161000.0,2580217090504.0
2015-08-27,3748.27,3205.64,3898.74,2952.01,180628771800.0,2024241390165.0
2015-09-09,3246.24,3399.3,3426.65,3170.81,185928825200.0,1974615926754.0
2015-09-18,3349.28,3251.27,3398.32,3131.37,103845872700.0,1150820997870.0
2015-09-29,3222.6,3178.85,3371.41,3159.04,77698270900.0,897823644827.0
2015-10-15,3195.9,3486.82,3486.82,3186.77,102516010800.0,1219900085762.0
2015-10-26,3508.52,3589.26,3620.76,3417.41,146452153200.0,1801648090409.0
2015-11-04,3569.45,3628.54,3628.54,3452.62,106601390700.0,1363357092177.0
2015-11-13,3630.78,3746.24,3891.77,3627.3,199338590400.0,2620406212648.0
2015-11-24,3682.74,3753.89,3852.77,3680.07,125650724000.0,1720749034777.0
2015-12-03,3747.76,3749.3,3805.84,3455.07,125544847500.0,1619015195453.0
2015-12-14,3719.73,3711.32,3726.12,3571.0,88649640200.0,1192475220697.0
2015-12-23,3707.73,3866.38,3926.69,3677.45,119397057100.0,1650152412668.0
2016-01-04,3858.14,3469.07,3867.68,3468.95,84555359000.0,1164185131817.0
2016-01-13,3382.18,3155.88,3543.74,3155.88,96167589700.0,1064992990532.0
2016-01-22,3076.64,3113.46,3227.91,3053.96,81971305300.0,891075498375.0
2016-02-02,3129.03,2961.33,3149.33,2839.29,72862766800.0,716824130193.0
2016-02-18,2931.29,3053.7,3093.51,2886.02,68421168000.0,672294155318.0
2016-02-29,3047.94,2877.47,3128.21,2821.21,84675552200.0,837393908781.0
2016-03-09,2881.34,3071.91,3130.9,2863.32,106446056700.0,1008393247981.0
2016-03-18,3056.21,3171.96,3197.67,2982.17,80852714600.0,850140085630.0
2016-03-29,3203.29,3135.41,3267.78,3122.76,95123277900.0,1121935659372.0
2016-04-08,3161.29,3185.73,3271.93,3161.29,83713589400.0,953736086816.0
2016-04-19,3213.51,3238.3,3296.52,3198.9,80462237700.0,862891462721.0
2016-04-28,3244.14,3160.58,3248.42,3107.37,60045389300.0,658195570836.0
2016-05-10,3153.54,3069.11,3222.88,3055.01,59855135200.0,658610397273.0
2016-05-19,3080.64,3062.5,3105.2,3035.02,49108925500.0,531525689582.0
2016-05-30,3047.78,3066.71,3098.48,3027.44,41512555600.0,448737869559.0
2016-06-08,3068.6,3163.99,3201.75,3068.6,66142064300.0,804095290193.0
2016-06-21,3134.05,3106.32,3155.49,3042.23,56657883500.0,672214877511.0
2016-06-30,3100.45,3153.92,3163.72,3033.97,59773924000.0,721899359118.0
2016-07-11,3156.93,3203.33,3235.96,3134.02,80704073300.0,939081830414.0
2016-07-20,3201.91,3237.61,3300.99,3200.3,82982176500.0,968978339430.0
2016-07-29,3238.34,3203.93,3276.51,3157.41,68430169300.0,838653855625.0
2016-08-09,3196.43,3256.98,3257.33,3156.75,55047728700.0,639125022049.0
2016-08-18,3255.18,3364.49,3418.69,3231.14,100588664700.0,1178365052312.0
2016-08-29,3358.55,3307.78,3374.05,3279.81,66118463800.0,759904002274.0
2016-09-07,3310.32,3340.82,3357.36,3295.76,60255239500.0,710053434207.0
2016-09-20,3338.01,3257.4,3344.95,3231.34,52671914900.0,599617739636.0
2016-09-29,3257.71,3244.39,3303.2,3214.44,42198329700.0,486564435506.0
2016-10-17,3240.18,3277.88,3309.01,3239.04,53153420400.0,552472823586.0
2016-10-26,3272.68,3354.8,3382.83,3272.68,75528331000.0,755934346779.0
2016-11-04,3351.46,3354.17,3379.99,3317.33,63854448500.0,704007717251.0
2016-11-15,3353.44,3429.87,3452.62,3322.08,102343678500.0,1012180803267.0
2016-11-24,3432.43,3488.74,3508.16,3412.08,99041422700.0,1018978914636.0
2016-12-05,3490.04,3469.41,3583.72,3457.34,133385411900.0,1419250944113.0
2016-12-14,3466.24,3378.95,3507.93,3370.6,93014201500.0,962673722793.0
2016-12-23,3363.86,3307.6,3378.04,3289.27,67292330900.0,692588894126.0
2017-01-04,3293.22,3368.31,3369.57,3267.05,55273154000.0,585391643037.0
2017-01-13,3368.34,3319.91,3373.41,3309.37,59981373500.0,599050122052.0
2017-01-24,3314.15,3364.45,3378.74,3264.21,57106768400.0,580941047997.0
2017-02-09,3361.66,3396.29,3406.59,3347.43,48411965500.0,514256345601.0
2017-02-20,3398.32,3471.39,3472.6,3398.03,82187192100.0,824956326387.0
2017-03-01,3475.06,3458.44,3492.96,3441.36,68987724000.0,734466905847.0
2017-03-10,3463.48,3427.89,3468.47,3412.83,56847260100.0,638924848596.0
2017-03-21,3425.67,3466.35,3492.13,3412.69,63439869100.0,762225059233.0
2017-03-30,3450.75,3436.76,3505.98,3422.37,73733861400.0,840067421568.0
2017-04-12,3434.82,3509.44,3526.82,3430.82,100169446500.0,1098868880384.0
2017-04-21,3500.28,3466.79,3518.44,3418.51,83350125700.0,890682991544.0
2017-05-03,3458.23,3413.13,3466.57,3399.54,73007083000.0,809556022991.0
2017-05-12,3404.94,3385.38,3421.4,3312.89,70862034700.0,748158634813.0
2017-05-23,3391.59,3424.19,3434.77,3373.55,65464057000.0,707828113127.0
2017-06-05,3409.72,3468.75,3515.08,3383.89,68787957500.0,752357679926.0
2017-06-14,3464.38,3535.3,3603.69,3460.45,60929161400.0,753813495505.0
2017-06-23,3530.75,3622.88,3635.53,3508.95,64790788700.0,814817853531.0
2017-07-04,3627.02,3619.98,3676.53,3611.69,68110935400.0,873132375061.0
2017-07-13,3611.9,3686.92,3701.21,3610.46,78165724400.0,952656353231.0
2017-07-24,3682.62,3743.47,3755.19,3621.37,98665543500.0,1122505096018.0
2017-08-02,3742.64,3760.85,3784.35,3672.5,98768052600.0,1090853243333.0
2017-08-11,3755.11,3647.35,3766.35,3645.09,97025000000.0,1060145770721.0
2017-08-22,3651.38,3752.3,3758.29,3651.38,73171133400.0,907447652491.0
2017-08-31,3747.61,3822.09,3866.94,3729.09,91295103200.0,1101253560490.0
2017-09-11,3825.34,3825.65,3865.29,3813.55,91837939100.0,1105850452196.1
2017-09-20,3832.24,3842.44,3862.36,3818.52,80888355000.0,1043859895683.0
2017-09-29,3843.26,3836.5,3860.8,3808.38,67004228500.0,850512969367.0
2017-10-17,3910.11,3913.07,3947.42,3855.47,74056583700.0,969068250088.0
2017-10-26,3914.82,3993.58,4013.6,3910.2,67312133000.0,851921861545.0
2017-11-06,3992.55,4020.89,4033.34,3960.27,90124278500.0,1124874296366.0
2017-11-15,4022.4,4073.67,4137.65,4021.36,98113682300.0,1336346625692.0
2017-11-24,4063.49,4104.2,4260.64,4057.49,112644888300.0,1545622289496.0
2017-12-05,4088.93,4040.17,4088.93,3982.32,83217155800.0,1100689131468.0
2017-12-14,4027.12,4026.15,4070.15,3955.44,62862576800.0,890222485951.0
2017-12-25,4018.73,4041.54,4086.93,3967.93,59726798700.0,845194432598.0
2017-12-29,4040.62,4030.85,4056.86,3980.24,40530193600.0,535135742010.0
