,datetime,open,high,low,close,volume,money
34,2014-01-10,2323.43,2325.99,2200.22,2204.85,37653563000.0,361960219048.0
35,2014-01-21,2207.0,2227.26,2156.46,2187.41,33657357200.0,312523181471.0
36,2014-01-30,2190.43,2257.36,2187.53,2202.45,40562339300.0,385270609992.0
37,2014-02-17,2187.34,2315.58,2177.12,2311.65,56047947300.0,535713504013.0
38,2014-02-26,2310.31,2331.7,2137.08,2163.41,62965761700.0,574675251947.0
39,2014-03-07,2170.81,2194.22,2133.55,2168.36,51660487600.0,461762857590.0
40,2014-03-18,2149.68,2152.46,2088.73,2138.13,43471473900.0,387005506191.0
41,2014-03-27,2131.28,2191.49,2077.76,2155.71,55188079900.0,458840328454.0
42,2014-04-08,2154.51,2243.97,2134.42,2237.32,45615025800.0,395978954621.0
43,2014-04-17,2239.79,2290.74,2221.15,2224.8,50201333600.0,464670218297.0
44,2014-04-28,2215.88,2231.71,2132.7,2134.97,37768398100.0,339126718907.0
45,2014-05-09,2134.41,2173.62,2120.59,2133.91,33309120400.0,282723813830.0
46,2014-05-20,2150.31,2185.05,2105.71,2115.77,36607980300.0,298369314318.0
47,2014-05-29,2106.76,2178.09,2096.51,2155.16,29321752600.0,260761649092.0
48,2014-06-10,2156.38,2168.99,2117.31,2161.27,28975851000.0,258491696094.0
49,2014-06-19,2156.15,2196.34,2119.5,2126.91,36069951900.0,318045750569.0
50,2014-06-30,2124.96,2168.22,2120.81,2165.12,31278168300.0,281531043898.0
51,2014-07-09,2169.2,2186.2,2148.26,2148.71,39255837600.0,359886308139.0
52,2014-07-18,2146.6,2183.25,2134.8,2164.14,46156842100.0,388495078468.0
53,2014-07-29,2164.22,2342.77,2158.95,2331.37,74947606100.0,623128640360.0
54,2014-08-07,2324.69,2380.77,2316.06,2327.46,82197457300.0,692767678344.0
55,2014-08-18,2329.18,2379.8,2319.29,2374.56,67668285500.0,589027165318.0
56,2014-08-27,2378.89,2379.47,2317.18,2327.59,66654641700.0,602718292005.0
57,2014-09-05,2328.06,2450.63,2309.64,2449.26,70001794700.0,660117178028.0
58,2014-09-17,2452.23,2461.47,2379.09,2401.33,90377159200.0,786894373986.0
59,2014-09-26,2396.38,2462.67,2374.11,2437.2,78568907900.0,672508049270.0
60,2014-10-14,2443.91,2488.11,2430.55,2446.56,90570485400.0,791689169859.0
61,2014-10-23,2444.54,2480.3,2392.53,2395.94,80655381800.0,695626445013.0
62,2014-11-03,2397.85,2524.17,2361.68,2512.55,104354442600.0,828798142846.0
63,2014-11-12,2511.04,2602.37,2482.98,2594.32,150214854700.0,1208431108486.0
64,2014-11-21,2597.39,2614.09,2522.84,2583.45,106561000800.0,965294755137.0
65,2014-12-02,2614.16,2944.51,2602.94,2923.94,211415503500.0,1982627193689.0
66,2014-12-11,2936.12,3387.83,2912.25,3183.01,332729818300.0,3541264684557.0
67,2014-12-22,3182.92,3455.21,3143.3,3394.48,271450724400.0,3006698560452.0
68,2014-12-31,3358.8,3542.34,3188.49,3533.7,248078302100.0,2788994109604.0
69,2015-01-13,3566.09,3689.75,3461.32,3514.04,229105837200.0,2788207494957.0
70,2015-01-22,3522.91,3662.16,3325.68,3567.61,195063677800.0,2418695080593.0
71,2015-02-02,3582.09,3627.81,3347.09,3353.96,162710948400.0,2021875161208.0
72,2015-02-11,3388.6,3487.95,3285.93,3434.12,130352192000.0,1623957598247.0
